Filename: testdata6.txt
halant: 1
corripuere: 1
semita: 1
monstrat: 1
ascendebant: 1
collem: 1
plurimus: 1
urbi: 2
adversasque: 1
adspectat: 1
420: 1
miratur: 3
molem: 1
magalia: 1
quondam: 1
portas: 1
strepitumque: 1
strata: 1
viarum: 1
instant: 1
ardentes: 1
tyrii: 4
ducere: 1
muros: 2
molirique: 1
manibus: 2
subvolvere: 1
optare: 1
locum: 1
tecto: 1
concludere: 1
sulco: 1
425: 1
magistratusque: 1
legunt: 1
sanctumque: 1
senatum: 1
portus: 1
effodiunt: 1
theatris: 1
fundamenta: 1
immanisque: 1
columnas: 1
rupibus: 1
excidunt: 1
scaenis: 1
decora: 1
apes: 1
aestate: 1
nova: 4
florea: 1
rura: 1
430: 1
exercet: 2
sole: 1
adultos: 1
educunt: 1
fetus: 1
liquentia: 1
mella: 2
stipant: 1
dulci: 3
distendunt: 1
nectare: 1
cellas: 1
